transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount_percent,payment_mode,delivery_days,returned
TXN000090,CUST04024,PROD0526,2023-03-30,1,"₹43,352",23,UPI,5,No
TXN000091,CUST04153,PROD0350,2023-09-03,4,"₹33,865",1,UPI,0,No
TXN000092,CUST03438,PROD1082,2023-01-21,3,"₹15,033",11,UPI,3,No
TXN000093,CUST02356,PROD0419,2022-12-25,5,"₹45,380",4,UPI,7,No
TXN000094,CUST00750,PROD1161,2022-06-21,1,"₹15,837",14,UPI,-3,No
TXN000095,CUST03052,PROD0640,2023-10-31,3,"₹5,280",12,UPI,2,No
TXN000096,CUST04774,PROD0037,2022-06-11,1,"₹21,068",9,UPI,7,No
TXN000097,CUST03565,PROD0494,2022-06-12,1,"₹16,439",21,UPI,7,No
TXN000098,CUST04656,PROD0359,2022-05-01,2,"₹42,394",28,UPI,8,No
TXN000099,CUST01705,PROD1109,2022-10-23,2,"₹28,777",6,UPI,3,No
TXN000100,CUST03446,PROD0651,2023-04-04,1000,"₹41,072",21,UPI,-3,No
TXN000101,CUST04445,PROD0539,2022-12-29,1,"₹16,807",3,UPI,7,No
TXN000102,CUST05187,PROD0344,2023-10-12,1,"₹5,849",1,UPI,-3,No
TXN000103,CUST02378,PROD0745,2022-01-28,1,"₹23,787",21,UPI,9,No
TXN000104,CUST05275,PROD0171,2022-08-28,2,"₹36,506",23,UPI,8,No
TXN000105,CUST03232,PROD0866,2023-10-10,1,"₹43,927",25,UPI,3,No
TXN000106,CUST02216,PROD0020,2023-08-26,1000,"₹37,369",21,UPI,1,No
TXN000107,CUST00886,PROD0303,2022-09-07,3,"₹32,832",4,UPI,-3,No
TXN000108,CUST00865,PROD0776,2022-02-03,4,"₹17,602",9,UPI,2,No
TXN000109,CUST03495,PROD0997,2023-09-09,4,"₹30,853",18,UPI,-3,No
TXN000110,CUST03055,PROD0327,2023-06-07,3,"₹37,632",21,UPI,8,No
TXN000111,CUST00786,PROD0576,2023-08-02,5,"₹44,444",26,UPI,-3,No
TXN000112,CUST00457,PROD1036,2023-01-31,5,"₹3,912",1,UPI,4,No
TXN000113,CUST00345,PROD0361,2022-08-06,1,"₹9,361",20,UPI,5,No
TXN000114,CUST00554,PROD0772,2023-10-17,5,"₹46,315",24,UPI,2,No
TXN000115,CUST05117,PROD0296,2022-04-30,2,"₹38,471",21,UPI,5,No
TXN000116,CUST00788,PROD0769,2023-12-26,1,"₹40,573",8,UPI,1,No
TXN000117,CUST01820,PROD0759,2023-01-22,3,"₹4,018",30,UPI,8,No
TXN000118,CUST00705,PROD0653,2022-02-25,1,"₹18,532",0,UPI,9,No
TXN000119,CUST05224,PROD0818,2022-03-23,2,"₹9,442",14,UPI,2,No
TXN000120,CUST04908,PROD0693,2022-03-12,4,"₹14,336",29,UPI,3,No
TXN000121,CUST00953,PROD0500,2023-12-23,1,"₹14,884",12,UPI,1,No
TXN000122,CUST00815,PROD1068,2022-11-06,1,"₹4,060",13,UPI,4,No
TXN000123,CUST01549,PROD1133,2023-04-04,1000,"₹27,179",33,UPI,9,No
TXN000124,CUST00144,PROD1122,2023-07-04,2,"₹13,756",24,UPI,-3,No
TXN000125,CUST02778,PROD1105,2023-03-26,2,"₹38,384",32,UPI,0,No
TXN000126,CUST03767,PROD0149,2023-10-22,5,"₹38,300",20,UPI,5,No
TXN000127,CUST04959,PROD0947,2023-03-15,5,"₹4,626",31,UPI,8,No
TXN000128,CUST03826,PROD1100,2023-10-03,1,"₹46,595",15,UPI,3,No
TXN000129,CUST01217,PROD0564,2022-12-30,2,"₹17,353",4,UPI,3,No
TXN000130,CUST01808,PROD0063,2023-07-30,5,"₹10,221",26,UPI,5,No
TXN000131,CUST04471,PROD0394,2023-02-28,1,"₹22,905",25,UPI,9,No
TXN000132,CUST04773,PROD0059,2022-06-30,3,"₹32,360",18,UPI,3,No
TXN000133,CUST02740,PROD0520,2022-06-26,2,"₹37,006",21,UPI,8,No
TXN000134,CUST01290,PROD0819,2022-02-20,3,"₹47,161",9,UPI,8,No
TXN000135,CUST00556,PROD0389,2023-07-21,1,"₹28,667",14,UPI,9,No
TXN000136,CUST00863,PROD0588,2022-01-01,3,"₹32,887",33,UPI,9,No
TXN000137,CUST02486,PROD1014,2023-05-19,1,"₹18,222",29,UPI,2,No
TXN000138,CUST04977,PROD0636,2023-04-30,1,"₹21,663",34,UPI,5,No
TXN000139,CUST02356,PROD0524,2022-03-12,1,"₹10,408",13,UPI,8,No
TXN000140,CUST00966,PROD0280,2023-10-02,1,"₹21,639",22,UPI,5,No
TXN000141,CUST02396,PROD1069,2022-02-20,5,"₹48,637",6,UPI,3,No
TXN000142,CUST00476,PROD0565,2022-04-05,5,"₹35,660",25,UPI,6,No
TXN000143,CUST01339,PROD0234,2023-06-04,4,"₹27,837",28,UPI,10,No
TXN000144,CUST00525,PROD0186,2022-11-17,3,"₹6,338",9,UPI,7,No
TXN000145,CUST02572,PROD0805,2022-03-20,1,"₹7,447",29,UPI,3,No
TXN000146,CUST00562,PROD0075,2023-04-03,1,"₹39,956",22,UPI,-3,No
TXN000147,CUST03703,PROD0938,2023-10-11,2,"₹44,868",9,UPI,2,No
TXN000148,CUST04665,PROD0710,2022-06-24,4,"₹47,719",25,UPI,6,No
TXN000149,CUST01206,PROD0233,2022-04-06,1,"₹24,811",17,UPI,8,No
TXN000150,CUST04034,PROD1192,2022-03-17,1000,"₹45,725",0,UPI,5,No
TXN000151,CUST03848,PROD0535,2023-03-13,4,"₹43,515",2,UPI,8,No
TXN000152,CUST04202,PROD0896,2023-07-23,1000,"₹11,943",9,UPI,7,No
TXN000153,CUST02239,PROD0972,2022-03-28,2,"₹49,369",28,UPI,0,No
TXN000154,CUST01161,PROD0647,2023-05-16,3,"₹7,822",4,UPI,1,No
TXN000155,CUST04796,PROD0293,2024-01-01,1,"₹2,971",4,UPI,6,No
TXN000156,CUST05240,PROD0038,2023-01-26,3,"₹24,900",14,UPI,5,No
TXN000157,CUST03826,PROD0168,2022-02-11,1000,"₹10,613",25,UPI,10,No
TXN000158,CUST00072,PROD0103,2022-11-18,1,"₹49,255",25,UPI,10,No
TXN000159,CUST00755,PROD0145,2022-01-01,1,"₹37,302",35,UPI,5,No
TXN000160,CUST03853,PROD0755,2022-11-11,1,"₹47,425",3,UPI,7,No
TXN000161,CUST00905,PROD0660,2022-03-06,1000,"₹23,853",25,UPI,5,No
TXN000162,CUST00052,PROD0366,2022-01-28,1,"₹42,552",28,UPI,7,No
TXN000163,CUST05100,PROD0153,2022-08-01,4,"₹6,957",38,UPI,0,No
TXN000164,CUST02622,PROD0828,2022-07-27,1,"₹40,202",21,UPI,7,No
TXN000165,CUST03191,PROD0422,2023-05-11,5,"₹47,950",0,UPI,3,No
TXN000166,CUST03949,PROD0319,2023-06-13,2,"₹30,117",27,UPI,2,No
TXN000167,CUST01288,PROD0485,2022-11-07,1,"₹43,704",38,UPI,2,No
TXN000168,CUST05359,PROD0083,2023-07-02,3,"₹16,548",18,UPI,4,No
TXN000169,CUST04781,PROD0079,2022-05-08,4,"₹5,768",11,UPI,0,No
TXN000170,CUST01773,PROD0151,2023-07-23,2,"₹11,294",5,UPI,7,No
TXN000171,CUST03903,PROD0756,2023-07-07,3,"₹30,492",34,UPI,2,No
TXN000172,CUST03921,PROD0730,2023-02-12,1,"₹17,334",10,UPI,9,No
TXN000173,CUST00950,PROD0015,2022-04-01,5,"₹26,112",0,UPI,1,No
TXN000174,CUST03139,PROD0101,2022-05-11,1,"₹17,913",0,UPI,4,No
TXN000175,CUST02417,PROD0780,2023-07-28,1,"₹39,359",6,UPI,1,No
TXN000176,CUST02280,PROD1059,2023-08-31,1,"₹20,604",28,UPI,9,No
TXN000177,CUST01426,PROD0351,2022-05-17,1,"₹1,223",33,UPI,4,No
TXN000178,CUST01585,PROD0957,2023-11-01,2,"₹47,447",6,UPI,-3,No
TXN000179,CUST01047,PROD0283,2022-08-24,2,"₹38,671",30,UPI,2,No
TXN000180,CUST05387,PROD0637,2023-01-06,2,"₹31,233",0,UPI,4,No
TXN000181,CUST02166,PROD0525,2023-11-20,1,"₹47,763",36,UPI,1,No
TXN000182,CUST04024,PROD0165,2023-03-02,1,"₹46,289",25,UPI,1,No
TXN000183,CUST01177,PROD0428,2022-02-22,4,"₹14,059",28,UPI,10,No
TXN000184,CUST02161,PROD0934,2022-07-27,4,"₹9,189",34,UPI,5,No
TXN000185,CUST01032,PROD0443,2022-12-08,2,"₹27,810",36,UPI,8,No
TXN000186,CUST03289,PROD0626,2022-10-11,2,₹423,9,UPI,5,No
TXN000187,CUST04527,PROD1144,2023-04-11,1,"₹33,889",4,UPI,3,No
TXN000188,CUST01316,PROD0069,2022-08-06,4,"₹27,255",29,UPI,-3,No
TXN000189,CUST00893,PROD0274,2022-02-18,1000,"₹10,991",3,UPI,6,No
TXN000190,CUST05170,PROD0560,2023-07-09,1,"₹28,503",6,UPI,1,No
TXN000191,CUST00107,PROD0849,2023-05-06,4,"₹20,387",19,UPI,-3,No
TXN000192,CUST03081,PROD0570,2022-06-20,2,"₹17,984",27,UPI,-3,No
TXN000193,CUST00745,PROD0590,2023-09-04,1,"₹48,458",6,UPI,7,No
TXN000194,CUST00622,PROD0499,2022-07-01,3,"₹34,836",10,UPI,7,No
TXN000195,CUST05091,PROD0204,2022-02-02,2,"₹8,521",13,UPI,6,No
TXN000196,CUST04241,PROD0775,2023-12-19,4,"₹28,449",7,UPI,2,No
TXN000197,CUST00821,PROD1133,2023-09-11,3,"₹41,534",23,UPI,10,No
TXN000198,CUST00412,PROD0388,2023-04-20,5,"₹36,842",30,UPI,10,No
TXN000199,CUST00114,PROD0416,2022-04-21,2,"₹12,789",1,UPI,7,No
TXN000200,CUST02447,PROD0901,2023-10-16,2,"₹13,687",7,UPI,1,No
TXN000201,CUST03347,PROD0312,2023-05-30,2,"₹8,570",26,UPI,1,No
TXN000202,CUST04220,PROD0252,2023-02-21,1,"₹12,990",23,UPI,6,No
TXN000203,CUST00086,PROD0203,2023-09-10,3,"₹49,482",5,UPI,7,No
TXN000204,CUST04143,PROD0110,2023-03-20,4,"₹40,408",10,UPI,0,No
TXN000205,CUST01573,PROD0082,2023-01-18,1,"₹27,853",15,UPI,4,No
TXN000206,CUST02006,PROD0769,2023-07-07,1000,"₹25,724",28,UPI,10,No
TXN000207,CUST04080,PROD0193,2022-09-19,3,"₹16,744",29,UPI,1,No
TXN000208,CUST00804,PROD0139,2023-05-04,4,"₹35,503",6,UPI,10,No
TXN000209,CUST03335,PROD0221,2023-01-31,1000,"₹21,168",15,UPI,9,No
TXN000210,CUST03350,PROD0861,2022-01-18,2,"₹32,457",35,UPI,0,No
TXN000211,CUST01070,PROD0340,2022-10-17,1,"₹49,267",30,UPI,5,No
TXN000212,CUST05288,PROD0478,2022-10-14,4,"₹24,838",10,UPI,6,No
TXN000213,CUST02670,PROD0959,2023-06-01,5,"₹22,320",18,UPI,9,No
TXN000214,CUST04142,PROD0813,2023-04-21,1,"₹11,302",13,UPI,2,No
TXN000215,CUST02772,PROD0198,2023-03-02,1,"₹35,160",14,UPI,8,No
TXN000216,CUST04636,PROD0199,2022-07-02,1,"₹10,978",7,UPI,2,No
TXN000217,CUST04183,PROD0816,2023-09-29,2,"₹8,048",11,UPI,5,No
TXN000218,CUST01409,PROD1161,2023-10-31,5,"₹27,317",23,UPI,7,No
TXN000219,CUST03741,PROD0175,2023-04-30,1,"₹39,193",37,UPI,6,No
TXN000220,CUST00265,PROD0489,2023-03-03,4,"₹20,535",12,UPI,-3,No
TXN000221,CUST03849,PROD0316,2022-09-10,5,"₹21,167",17,UPI,-3,No
TXN000222,CUST03094,PROD0820,2022-03-22,4,"₹26,995",34,UPI,3,No
TXN000223,CUST04799,PROD0380,2022-10-18,1,"₹28,780",28,UPI,0,No
TXN000224,CUST01474,PROD0442,2023-09-06,3,"₹4,088",19,UPI,7,No
TXN000225,CUST04282,PROD0865,2023-02-18,1000,"₹30,534",33,UPI,9,No
TXN000226,CUST00326,PROD0133,2023-12-19,1,"₹27,276",2,UPI,6,No
TXN000227,CUST01207,PROD0981,2022-01-17,1,₹265,39,UPI,9,No
TXN000228,CUST04493,PROD1051,2023-03-24,5,"₹6,162",34,UPI,6,No
TXN000229,CUST01505,PROD0937,2022-09-07,3,"₹25,377",30,UPI,0,No
TXN000230,CUST03535,PROD0656,2023-10-18,3,"₹14,165",6,UPI,0,No
TXN000231,CUST01441,PROD0236,2022-01-10,1000,"₹23,606",8,UPI,4,No
TXN000232,CUST05185,PROD0989,2022-07-18,4,"₹13,166",16,UPI,9,No
TXN000233,CUST00956,PROD0815,2022-12-02,2,"₹15,798",6,UPI,2,No
TXN000234,CUST00555,PROD0919,2022-10-26,2,"₹4,327",4,UPI,7,No
TXN000235,CUST05137,PROD0439,2022-11-11,1,"₹20,743",23,UPI,2,No
TXN000236,CUST03255,PROD0588,2022-10-13,2,"₹33,461",14,UPI,10,No
TXN000237,CUST04140,PROD0611,2022-09-01,2,"₹19,900",1,UPI,6,No
TXN000238,CUST04997,PROD0230,2022-11-29,1,"₹31,778",14,UPI,4,No
TXN000239,CUST04578,PROD0340,2022-05-17,5,"₹17,742",20,UPI,2,No
TXN000240,CUST02037,PROD0164,2023-06-01,1,"₹15,073",36,UPI,5,No
TXN000241,CUST01287,PROD0116,2022-11-03,3,"₹4,455",13,UPI,2,No
TXN000242,CUST01198,PROD0071,2022-08-31,4,"₹11,863",1,UPI,-3,No
TXN000243,CUST04662,PROD0850,2023-01-10,3,"₹21,158",24,UPI,8,No
TXN000244,CUST02268,PROD1077,2022-01-24,3,"₹17,657",26,UPI,-3,No
TXN000245,CUST03630,PROD0342,2023-12-28,2,"₹20,603",37,UPI,6,No
TXN000246,CUST03466,PROD0935,2022-01-11,5,"₹41,939",18,UPI,5,No
TXN000247,CUST00772,PROD0588,2023-05-20,2,"₹41,414",29,UPI,7,No
TXN000248,CUST05315,PROD0779,2022-06-28,4,"₹13,635",9,UPI,3,No
TXN000249,CUST02457,PROD0332,2023-01-20,5,"₹32,354",30,UPI,4,No
TXN000250,CUST00471,PROD1103,2022-07-13,1,"₹5,460",12,UPI,8,No
TXN000251,CUST01371,PROD0968,2023-08-07,5,"₹2,371",12,UPI,6,No
TXN000252,CUST03133,PROD0107,2023-12-20,4,"₹6,833",26,UPI,1,No
TXN000253,CUST00672,PROD0082,2023-09-01,3,"₹31,688",18,UPI,1,No
TXN000254,CUST01175,PROD0392,2022-05-24,2,"₹32,342",18,UPI,10,No
TXN000255,CUST00111,PROD0230,2022-08-31,5,"₹21,114",36,UPI,8,No
TXN000256,CUST03560,PROD0020,2023-09-07,1,"₹37,045",14,UPI,8,No
TXN000257,CUST01027,PROD0780,2022-08-21,2,"₹44,052",27,UPI,8,No
TXN000258,CUST03555,PROD0652,2022-02-23,4,"₹5,360",35,UPI,-3,No
TXN000259,CUST03234,PROD0472,2023-05-11,4,"₹18,817",27,UPI,0,No
TXN000260,CUST04440,PROD0592,2022-08-24,1,"₹2,522",32,UPI,0,No
TXN000261,CUST01473,PROD0074,2022-12-05,1,"₹1,347",21,UPI,9,No
TXN000262,CUST02380,PROD0654,2023-12-27,4,"₹2,189",8,UPI,5,No
TXN000263,CUST04873,PROD0462,2022-10-28,2,"₹21,916",35,UPI,6,No
TXN000264,CUST02972,PROD1174,2022-07-23,1,"₹2,506",5,UPI,10,No
TXN000265,CUST02382,PROD0315,2022-12-29,1,"₹4,205",1,UPI,9,No
TXN000266,CUST03291,PROD0640,2022-06-09,3,"₹24,761",25,UPI,-3,No
TXN000267,CUST04754,PROD0274,2022-07-09,3,"₹6,506",4,UPI,-3,No
TXN000268,CUST01834,PROD0482,2022-03-26,5,"₹2,448",22,UPI,3,No
TXN000269,CUST00454,PROD0082,2023-08-12,1,"₹27,798",5,UPI,-3,No
TXN000270,CUST00741,PROD0031,2023-09-18,5,"₹35,493",0,UPI,10,No
TXN000271,CUST02381,PROD0746,2023-10-22,5,"₹42,733",34,UPI,0,No
TXN000272,CUST02358,PROD1108,2022-03-09,2,"₹42,237",32,UPI,1,No
TXN000273,CUST01444,PROD0996,2023-11-17,1,"₹37,964",25,UPI,-3,No
TXN000274,CUST03681,PROD0042,2023-04-16,5,"₹1,167",24,UPI,7,No
TXN000275,CUST01749,PROD0251,2023-04-23,1,"₹18,256",12,UPI,2,No
TXN000276,CUST02402,PROD0387,2022-10-20,3,"₹10,644",16,UPI,9,No
TXN000277,CUST04920,PROD0996,2022-05-02,2,"₹36,695",15,UPI,9,No
TXN000278,CUST03172,PROD0266,2022-11-29,4,"₹7,815",29,UPI,4,No
TXN000279,CUST04241,PROD0022,2023-01-19,2,"₹38,355",1,UPI,4,No
TXN000280,CUST02007,PROD0076,2022-12-03,2,"₹10,415",3,UPI,1,No
TXN000281,CUST05164,PROD0680,2022-09-22,5,"₹21,831",12,UPI,6,No
TXN000282,CUST01787,PROD0891,2022-01-28,1000,"₹29,557",37,UPI,4,No
TXN000283,CUST01410,PROD0865,2023-06-18,2,"₹48,707",16,UPI,4,No
TXN000284,CUST01763,PROD0240,2022-06-19,2,"₹8,892",22,UPI,-3,No
TXN000285,CUST00910,PROD0051,2022-08-14,4,"₹4,908",28,UPI,10,No
TXN000286,CUST00761,PROD0960,2023-08-15,4,"₹42,566",8,UPI,5,No
TXN000287,CUST03241,PROD0476,2022-03-06,2,"₹26,490",14,UPI,10,No
TXN000288,CUST02690,PROD0864,2023-07-23,3,"₹32,615",1,UPI,2,No
TXN000289,CUST00531,PROD0894,2022-01-25,1,"₹19,534",28,UPI,6,No
TXN000290,CUST01360,PROD0525,2024-01-01,3,"₹22,061",33,UPI,1,No
TXN000291,CUST03819,PROD0157,2023-06-22,4,"₹38,171",16,UPI,2,No
TXN000292,CUST02028,PROD0199,2023-10-09,1,"₹34,812",13,UPI,10,No
TXN000293,CUST02561,PROD1024,2022-08-18,2,"₹43,531",14,UPI,9,No
TXN000294,CUST02178,PROD0666,2022-03-20,2,"₹14,947",25,UPI,-3,No
TXN000295,CUST05104,PROD0736,2023-04-06,4,"₹45,155",33,UPI,-3,No
TXN000296,CUST01538,PROD1142,2023-05-14,3,"₹41,350",2,UPI,10,No
TXN000297,CUST01274,PROD0075,2022-11-11,2,"₹13,570",17,UPI,1,No
TXN000298,CUST02782,PROD0952,2022-11-21,1,"₹9,953",36,UPI,7,No
TXN000299,CUST00947,PROD0725,2023-03-10,3,"₹44,659",35,UPI,4,No
TXN000300,CUST05258,PROD1009,2023-07-21,2,"₹31,976",38,UPI,0,No
TXN000301,CUST01299,PROD0367,2022-09-22,3,"₹8,620",6,UPI,0,No
TXN000302,CUST05098,PROD0756,2023-12-19,3,"₹28,582",22,UPI,5,No
TXN000303,CUST02512,PROD0108,2022-12-29,3,"₹31,577",36,UPI,3,No
TXN000304,CUST02189,PROD0689,2023-08-05,3,"₹3,489",25,UPI,10,No
TXN000305,CUST00882,PROD0093,2022-08-13,5,"₹17,130",14,UPI,9,No
TXN000306,CUST01848,PROD0966,2022-03-09,5,"₹9,545",23,UPI,9,No
TXN000307,CUST01976,PROD0100,2023-11-21,1,"₹10,739",19,UPI,8,No
TXN000308,CUST04269,PROD0181,2022-10-18,3,"₹21,536",36,UPI,1,No
TXN000309,CUST04569,PROD0671,2023-04-15,2,"₹14,115",23,UPI,2,No
TXN000310,CUST02965,PROD0096,2023-02-18,1,"₹27,089",13,UPI,-3,No
TXN000311,CUST03064,PROD0232,2022-08-21,3,"₹35,271",31,UPI,9,No
TXN000312,CUST03129,PROD0251,2022-06-07,2,"₹25,422",34,UPI,10,No
TXN000313,CUST00498,PROD0904,2023-06-09,4,"₹38,539",22,UPI,1,No
TXN000314,CUST02217,PROD0019,2022-01-23,1,"₹49,762",32,UPI,10,No
